ticker,nom,prix,variation_pct,niveau_alerte,categorie,source,devise
TSLA,,390.82,2.48,forte hausse,action,yahoo_finance,USD
SAN.PA,,79.82,2.18,forte hausse,action_fr,yahoo+boursorama,EUR
